,Indicator,year,Indicator_no,Total_pregnant_women_registered_ANC,Total_registered_within_first_trimester,Total_registered_under_JSY,Perc_1st_Trimester_regis_to_Total_ANC_regis,Perc_JSY_regis_total_ANC_regis,Total_received_3_ANC_check_ups,Booster_given_numbers,Perc_received_3_ANC_check_ups_to_Total_ANC_regis,Perc_received_Booster_to_Total_ANC_regis,Total_given_100_IFA_tablets,Perc_given_100_IFA_to_Total_ANC_regis,Number_having_Hb_level_11_tested_cases,Number_having_severe_anaemia_Hb_7_treated_at_institutin,Perc_having_severe_anaemia_Hb7_treated_at_institution_to_women_having_hb_level_11,Perc_New_cases_detected_at_institution_for_hypertension_to_Total_ANC_regis,Total_home_deliveries,home_deliveries_attended_by_SBA_trained_Doctor_Nurse,home_deliveries_attended_by_Non_SBA_trained,Perc_SBA_attended_home_deliveries_to_Total_Reported_Home_Deliveries,Mothers_paid_JSY_incentive_for_home_deliveries,Perc_Mothers_paid_JSY_incentive_for_home_deliveries_to_Total_Reported_Home_Deliveries,Deliveries_Conducted_at_Public_Institutions,Institutional_deliveries_Public_Insts_Pvt_Insts,Perc_Institutional_Deliveries_to_total_ANC_registration,Total_reported_deliveries,Perc_Institutional_deliveries_to_Total_Reported_Deliveries,Perc_Safe_deliveries_to_Total_Reported_Deliveries,Perc_Home_deliveries_to_Total_Reported_Deliveries,Number_of_C_section_deliveries_conducted_at_public_facilities,Number_of_C_section_deliveries_conducted_at_private_facilities,Perc_C_section_deliveries_institutional_to_reported_institutional_deliveries,Perc_C_sections_conducted_at_public_facilities_to_Deliveries_conducted_at_public_facilities,Perc_C_sections_conducted_at_Private_facilities_to_Deliveries_conducted_at_private_facilities,Perc_Deliveries_conducted_at_Public_Institutions_to_Total_Institutional_Deliveries,Perc_Deliveries_conducted_at_Private_Institutions_to_Total_Institutional_Deliveries,Total_reported_live_births,Perc_Total_Live_Births_to_Total_Deliveries,Total_Number_of_reported_Still_Births,Perc_Live_birth_to_Reported.Birth,Number_of_Newborns_weighed_at_birth,Perc_Newborns_weighed_at_birth_to_live_birth,Number_of_Newborns_having_weight_less_than_2.5.kg,Perc_Newborns_having_weight_less_than_2.5.kg_to_Newborns_weighed_at_birth
185,THQH Ponnani,2014-15,9,1147,750,1008,65.4,87.9,997,1052,86.9,91.7,979,85.4,593,128,21.6,0.7,NA,NA,NA,NA,NA,NA,1636,1636,142.6,1636,100,100,0,672,NA,41.1,41.1,NA,100,0,1650,100.9,4,99.8,1650,100,105,6.4
186,THQH Thiruurangadi,2014-15,9,168,126,43,75,25.6,164,5882,97.6,3501.2,1660,988.1,822,6,0.7,413.7,NA,NA,NA,NA,NA,NA,363,9288,5528.6,9288,100,100,0,54,2729,30,14.9,30.6,3.9,96.1,9821,105.7,31,99.7,9821,100,1217,12.4
187,THQH Tiruur,2014-15,9,1110,856,237,77.1,21.4,1058,327,95.3,29.5,1150,103.6,158,18,11.4,1.4,NA,NA,NA,NA,NA,NA,2324,2324,209.4,2324,100,100,0,972,NA,41.8,41.8,NA,100,0,2328,100.2,5,99.8,2328,100,110,4.7
188,Thavanur BPHCArea,2014-15,9,3299,2830,1212,85.8,36.7,2934,1580,88.9,47.9,3359,101.8,83,7,8.4,2.5,0,0,0,NA,0,NA,359,4148,125.7,4148,100,100,0,197,1584,42.9,54.9,41.8,8.7,91.3,4201,101.3,84,98,4201,100,948,22.6
189,Valavannur BPHCArea,2014-15,9,7965,6418,2713,80.6,34.1,6587,2281,82.7,28.6,7171,90,333,0,0,0.2,27,0,27,0,0,0,0,1001,12.6,1028,97.4,97.4,2.6,0,266,26.6,NA,26.6,0,100,1031,100.3,2,99.8,1028,99.7,133,12.9
190,Vengara BPHCArea,2014-15,9,8065,6327,977,78.5,12.1,6746,1732,83.6,21.5,7010,86.9,224,0,0,0.3,14,0,14,0,1,7.1,0,1251,15.5,1265,98.9,98.9,1.1,0,143,11.4,NA,11.4,0,100,1260,99.6,8,99.4,1260,100,130,10.3
191,Vettom BPHCArea,2014-15,9,5202,4410,1834,84.8,35.3,3748,1541,72,29.6,4848,93.2,1264,3,0.2,4,2,0,2,0,0,0,0,1011,19.4,1013,99.8,99.8,0.2,0,353,34.9,NA,34.9,0,100,1025,101.2,8,99.2,1025,100,124,12.1
192,Wandoor BPHCArea,2014-15,9,7682,6338,7230,82.5,94.1,6623,6008,86.2,78.2,6895,89.8,905,0,0,3.3,11,1,10,9.1,1,9.1,251,4202,54.7,4213,99.7,99.8,0.3,0,1087,25.9,0,27.5,6,94,4230,100.4,5,99.9,4230,100,423,10
194,Agali CHCArea,2014-15,10,1136,819,1093,72.1,96.2,1101,562,96.9,49.5,1073,94.5,234,0,0,1.3,37,0,37,0,1,2.7,6,6,0.5,43,14,14,86,0,NA,0,0,NA,100,0,41,95.3,1,97.6,41,100,20,48.8
195,Alanellur CHCArea,2014-15,10,6273,4524,3047,72.1,48.6,5538,3949,88.3,63,5682,90.6,243,0,0,0.4,28,1,27,3.6,0,0,0,5308,84.6,5336,99.5,99.5,0.5,0,1631,30.7,NA,30.7,0,100,5349,100.2,36,99.3,5347,100,528,9.9
196,Ambalappara CHCArea,2014-15,10,2209,1667,819,75.5,37.1,1951,2020,88.3,91.4,2052,92.9,223,3,1.3,1.8,0,0,0,NA,0,NA,0,3800,172,3800,100,100,0,0,1006,26.5,NA,26.5,0,100,3803,100.1,10,99.7,3802,100,318,8.4
197,Chalavara CHCArea,2014-15,10,2590,1641,887,63.4,34.2,2237,1306,86.4,50.4,2431,93.9,95,0,0,0.3,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
198,Chalissery CHCArea,2014-15,10,3574,2634,1290,73.7,36.1,3079,3666,86.1,102.6,4366,122.2,418,5,1.2,6,2,0,2,0,0,0,0,2254,63.1,2256,99.9,99.9,0.1,0,498,22.1,NA,22.1,0,100,2259,100.1,4,99.8,2248,99.5,157,7
199,District Hospital Palakkad,2014-15,10,985,594,231,60.3,23.5,1353,899,137.4,91.3,754,76.5,1270,66,5.2,26.5,NA,NA,NA,NA,NA,NA,4192,12238,1242.4,12238,100,100,0,1538,2852,35.9,36.7,35.4,34.3,65.7,12312,100.6,13,99.9,12312,100,1121,9.1
200,Katampazhipuram CHCArea,2014-15,10,2945,2454,1476,83.3,50.1,2672,2844,90.7,96.6,2814,95.6,190,1,0.5,0.1,1,0,1,0,0,0,0,1179,40,1180,99.9,99.9,0.1,0,350,29.7,NA,29.7,0,100,1181,100.1,0,100,1178,99.7,65,5.5
201,Koduvayoor CHCArea,2014-15,10,3498,2876,2220,82.2,63.5,3338,2813,95.4,80.4,3227,92.3,212,0,0,0.2,11,0,11,0,0,0,1,378,10.8,389,97.2,97.2,2.8,0,173,45.8,0,45.9,0.3,99.7,389,100,0,100,388,99.7,68,17.5
202,Kongad CHCArea,2014-15,10,2749,2308,1077,84,39.2,2369,1765,86.2,64.2,2639,96,628,0,0,1.3,2,0,2,0,0,0,0,0,0,2,0,0,100,0,NA,NA,NA,NA,NA,NA,2,100,0,100,2,100,1,50
203,Koppam CHCArea,2014-15,10,4607,3421,1707,74.3,37.1,3587,4776,77.9,103.7,4781,103.8,1466,0,0,0.8,2,0,2,0,0,0,0,2465,53.5,2467,99.9,99.9,0.1,0,699,28.4,NA,28.4,0,100,2474,100.3,2,99.9,2474,100,262,10.6
204,Kozhinjanpara CHC Area,2014-15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,Kuzhalmannam CHCArea,2014-15,10,3182,2537,1402,79.7,44.1,2737,2941,86,92.4,2747,86.3,215,0,0,0.6,11,2,9,18.2,0,0,2,1085,34.1,1096,99,99.2,1,0,463,42.7,0,42.8,0.2,99.8,1114,101.6,5,99.6,1081,97,211,19.5
206,Nanniyode CHCArea,2014-15,10,2291,1779,2094,77.7,91.4,1948,1751,85,76.4,1962,85.6,64,0,0,0.3,6,0,6,0,1,16.7,0,483,21.1,489,98.8,98.8,1.2,0,183,37.9,NA,37.9,0,100,488,99.8,1,99.8,488,100,61,12.5
207,Nemmara CHCArea,2014-15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,Parli CHCArea,2014-15,10,1677,1374,949,81.9,56.6,1628,1366,97.1,81.5,1328,79.2,192,0,0,1.4,2,0,2,0,0,0,0,47,2.8,49,95.9,95.9,4.1,0,21,44.7,NA,44.7,0,100,51,104.1,0,100,50,98,8,16
209,Pazhampalakkode CHCArea,2014-15,10,2719,2338,1313,86,48.3,2564,1620,94.3,59.6,2509,92.3,339,0,0,0.4,2,0,2,0,0,0,0,1,0,3,33.3,33.3,66.7,0,0,0,NA,0,0,100,3,100,0,100,3,100,0,0
210,Shornur CHC Area,2014-15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,THQH Alathoor,2014-15,10,33,26,32,78.8,97,28,623,84.8,1887.9,154,466.7,6,0,0,0,NA,NA,NA,NA,NA,NA,993,1660,5030.3,1660,100,100,0,277,196,28.5,27.9,29.4,59.8,40.2,1662,100.1,3,99.8,1642,98.8,204,12.4
212,THQH Chittur,2014-15,10,185,115,185,62.2,100,157,156,84.9,84.3,271,146.5,9,2,22.2,0.5,NA,NA,NA,NA,NA,NA,4,4,2.2,4,100,100,0,0,0,0,0,NA,100,0,4,100,0,100,4,100,0,0
213,THQH Mannarkkad,2014-15,10,92,60,17,65.2,18.5,79,265,85.9,288,262,284.8,74,13,17.6,2.2,NA,NA,NA,NA,NA,NA,1056,1208,1313,1208,100,100,0,470,96,46.9,44.5,63.2,87.4,12.6,1219,100.9,4,99.7,1219,100,158,13
214,THQH Ottappalam,2014-15,10,49,27,8,55.1,16.3,30,1109,61.2,2263.3,961,1961.2,207,23,11.1,57.1,NA,NA,NA,NA,NA,NA,1469,4312,8800,4312,100,100,0,511,951,33.9,34.8,33.5,34.1,65.9,4337,100.6,1,100,4337,100,480,11.1
215,THQH Pattambi,2014-15,10,0,0,0,NA,NA,0,21,NA,NA,21,NA,10,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
216,Vadakkencherry CHCArea,2014-15,10,2421,1987,859,82.1,35.5,2220,1435,91.7,59.3,2222,91.8,150,0,0,0.2,6,0,6,0,0,0,0,0,0,6,0,0,100,0,0,NA,NA,NA,NA,NA,6,100,0,100,6,100,1,16.7
218,Chathenkery CHCArea,2014-15,11,1318,1061,978,80.5,74.2,1291,915,98,69.4,1181,89.6,62,0,0,1,0,0,0,NA,0,NA,0,492,37.3,492,100,100,0,0,192,39,NA,39,0,100,494,100.4,0,100,494,100,44,8.9
219,Dist Hosp Kozhencherry,2014-15,11,31,20,31,64.5,100,27,2029,87.1,6545.2,29,93.5,1475,4,0.3,138.7,NA,NA,NA,NA,NA,NA,1315,2805,9048.4,2805,100,100,0,517,1034,55.3,39.3,69.4,46.9,53.1,2825,100.7,5,99.8,2825,100,312,11
220,Elanthoor CHCArea,2014-15,11,1191,979,1049,82.2,88.1,1245,474,104.5,39.8,1158,97.2,25,0,0,0.5,1,0,1,0,0,0,0,0,0,1,0,0,100,0,NA,NA,NA,NA,NA,NA,1,100,0,100,1,100,0,0
221,Enadimangalam CHCArea,2014-15,11,2779,2295,2490,82.6,89.6,2532,2321,91.1,83.5,3076,110.7,520,1,0.2,3.9,3,1,2,33.3,0,0,0,2287,82.3,2290,99.9,99.9,0.1,0,1520,66.5,NA,66.5,0,100,2367,103.4,7,99.7,2367,100,436,18.4
222,Ezhumattoor CHCArea,2014-15,11,613,501,403,81.7,65.7,590,291,96.2,47.5,604,98.5,10,0,0,0.5,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
223,GH Adoor,2014-15,11,52,38,52,73.1,100,52,547,100,1051.9,57,109.6,369,4,1.1,103.8,NA,NA,NA,NA,NA,NA,1332,1332,2561.5,1332,100,100,0,513,NA,38.5,38.5,NA,100,0,1332,100,0,100,1332,100,216,16.2
224,General Hosp Pathanamthitta,2014-15,11,307,213,307,69.4,100,372,799,121.2,260.3,461,150.2,115,1,0.9,18.2,NA,NA,NA,NA,NA,NA,1410,2251,733.2,2251,100,100,0,837,631,65.2,59.4,75,62.6,37.4,2262,100.5,1,100,2262,100,247,10.9
225,Kanjeettukara CHCArea,2014-15,11,603,486,500,80.6,82.9,662,194,109.8,32.2,581,96.4,21,0,0,1.2,0,0,0,NA,0,NA,0,11,1.8,11,100,100,0,0,3,27.3,NA,27.3,0,100,11,100,0,100,11,100,1,9.1
226,Konni CHCArea,2014-15,11,1717,1384,1713,80.6,99.8,1637,895,95.3,52.1,1541,89.7,67,0,0,0.8,4,2,2,50,0,0,0,101,5.9,105,96.2,98.1,3.8,0,63,62.4,NA,62.4,0,100,105,100,0,100,105,100,6,5.7
227,Kunnanthanam BPHC Area,2014-15,11,1347,1104,1343,82,99.7,1260,615,93.5,45.7,1321,98.1,50,NA,0,1.3,1,0,1,0,0,0,0,0,0,1,0,0,100,0,NA,NA,NA,NA,NA,NA,1,100,0,100,1,100,1,100
228,THQH Tiruvalla,2014-15,11,230,167,107,72.6,46.5,227,198,98.7,86.1,227,98.7,137,NA,0,0,NA,NA,NA,NA,NA,NA,407,3755,1632.6,3755,100,100,0,188,1742,51.4,46.2,52,10.8,89.2,3796,101.1,21,99.4,3796,100,407,10.7
229,Thumpamon CHCArea,2014-15,11,741,581,613,78.4,82.7,717,1285,96.8,173.4,871,117.5,193,0,0,8.9,1,0,1,0,0,0,0,1704,230,1705,99.9,99.9,0.1,0,1022,60,NA,60,0,100,1723,101.1,7,99.6,1723,100,222,12.9
230,Vallana CHCArea,2014-15,11,689,553,449,80.3,65.2,671,441,97.4,64,658,95.5,29,0,0,1.2,0,0,0,NA,0,NA,0,21,3,21,100,100,0,0,15,71.4,NA,71.4,0,100,21,100,0,100,21,100,0,0
231,Vechoochira CHCArea,2014-15,11,2039,1742,1901,85.4,93.2,1944,1265,95.3,62,1946,95.4,55,0,0,0.6,13,1,12,7.7,5,38.5,69,323,15.8,336,96.1,96.4,3.9,21,197,67.5,30.4,77.6,21.4,78.6,337,100.3,0,100,336,99.7,33,9.8
233,Anchuthengu CHCArea,2014-15,12,1331,1110,983,83.4,73.9,1283,438,96.4,32.9,1274,95.7,28,0,0,0.8,2,0,2,0,1,50,0,0,0,2,0,0,100,0,NA,NA,NA,NA,NA,NA,2,100,0,100,2,100,0,0
234,Ayurveda College Hospital For Women and Children P,2014-15,12,80,31,15,38.8,18.8,48,37,60,46.3,80,100,2,0,0,0,NA,NA,NA,NA,NA,NA,0,532,665,532,100,100,0,0,286,53.8,NA,53.8,0,100,532,100,0,100,532,100,38,7.1
235,CHC Attingal,2014-15,12,389,265,260,68.1,66.8,306,668,78.7,171.7,204,52.4,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,1431,367.9,1431,100,100,0,0,548,38.3,NA,38.3,0,100,1449,101.3,0,100,1449,100,75,5.2
236,CHC Fort Hospital,2014-15,12,373,224,321,60.1,86.1,294,899,78.8,241,406,108.8,46,0,0,5.9,NA,NA,NA,NA,NA,NA,0,2054,550.7,2054,100,100,0,0,961,46.8,NA,46.8,0,100,2367,115.2,1,100,2367,100,90,3.8
237,CHC Nemom,2014-15,12,118,84,85,71.2,72,114,105,96.6,89,119,100.8,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
238,CHC Palode,2014-15,12,13,10,11,76.9,84.6,11,46,84.6,353.8,12,92.3,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
239,CHC Varkala,2014-15,12,479,340,301,71,62.8,376,1103,78.5,230.3,441,92.1,132,36,27.3,6.1,NA,NA,NA,NA,NA,NA,0,295,61.6,295,100,100,0,0,155,52.5,NA,52.5,0,100,922,312.5,1,99.9,922,100,84,9.1
240,District Model Hospital Peroorkada,2014-15,12,32,25,26,78.1,81.3,55,866,171.9,2706.3,78,243.8,70,0,0,287.5,NA,NA,NA,NA,NA,NA,871,2057,6428.1,2057,100,100,0,292,715,49,33.5,60.3,42.3,57.7,2056,100,4,99.8,2056,100,100,4.9
241,General Hospital Thiruvananthapuram,2014-15,12,0,0,0,NA,NA,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
242,Kallara CHCArea,2014-15,12,1165,999,887,85.8,76.1,1129,583,96.9,50,1298,111.4,23,0,0,1,2,0,2,0,0,0,0,0,0,2,0,0,100,0,NA,NA,NA,NA,NA,NA,2,100,0,100,2,100,1,50
243,Kanyakulangara CHCArea,2014-15,12,2056,1706,1557,83,75.7,1849,658,89.9,32,1884,91.6,13,0,0,0.1,0,0,0,NA,0,NA,225,225,10.9,225,100,100,0,36,NA,16,16,NA,100,0,206,91.6,0,100,206,100,21,10.2
244,Kesavapuram CHC Area,2014-15,12,3044,2724,2940,89.5,96.6,2886,1165,94.8,38.3,2889,94.9,27,0,0,0.4,4,1,3,25,0,0,0,128,4.2,132,97,97.7,3,0,49,38.3,NA,38.3,0,100,132,100,0,100,131,99.2,2,1.5
245,MCH Unit Pangappara,2014-15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,Manamboor CHC Area,2014-15,12,3600,2628,1604,73,44.6,3207,923,89.1,25.6,3334,92.6,91,0,0,1.7,5,1,4,20,1,20,0,304,8.4,309,98.4,98.7,1.6,0,139,45.7,NA,45.7,0,100,309,100,1,99.7,309,100,6,1.9
247,Perumkadavilla CHC Area,2014-15,12,1662,1417,1194,85.3,71.8,1508,615,90.7,37,1571,94.5,37,0,0,1.2,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
248,Poonthura CHC Area,2014-15,12,1518,1081,1503,71.2,99,1334,358,87.9,23.6,1365,89.9,54,0,0,0.6,0,0,0,NA,0,NA,0,2203,145.1,2203,100,100,0,0,1097,49.8,NA,49.8,0,100,2201,99.9,2,99.9,2201,100,171,7.8
249,Poovar CHC Area,2014-15,12,2530,2148,1549,84.9,61.2,2212,1068,87.4,42.2,1908,75.4,71,0,0,0.3,0,0,0,NA,0,NA,0,63,2.5,63,100,100,0,0,0,0,NA,0,0,100,63,100,0,100,63,100,2,3.2
250,Pulluvilla CHC Area,2014-15,12,737,634,701,86,95.1,802,351,108.8,47.6,741,100.5,56,0,0,1.5,0,0,0,NA,0,NA,0,45,6.1,45,100,100,0,0,43,95.6,NA,95.6,0,100,45,100,0,100,45,100,0,0
251,Puthenthope CHC Area,2014-15,12,2885,2332,1165,80.8,40.4,2700,967,93.6,33.5,2633,91.3,42,0,0,0.4,1,1,0,100,0,0,0,439,15.2,440,99.8,100,0.2,0,147,33.5,NA,33.5,0,100,441,100.2,0,100,441,100,41,9.3
252,SAT Hospital Thiruvananthapuram,2014-15,12,49,38,22,77.6,44.9,2909,4307,5936.7,8789.8,15,30.6,4281,20,0.5,2187.8,NA,NA,NA,NA,NA,NA,9950,15297,1218.4,15297,100,100,0,3948,2814,44.2,39.7,52.6,65,35,15330,100.2,320,98,15330,100,3371,22
253,Taluk Hospital Chirayinkeezhu,2014-15,12,45,36,31,80,68.9,41,1151,91.1,2557.8,783,1740,0,0,NA,133.3,NA,NA,NA,NA,NA,NA,2009,2009,4464.4,2009,100,100,0,576,NA,28.7,28.7,NA,100,0,2012,100.1,3,99.9,2012,100,250,12.4
254,Taluk Hospital Nedumangadu,2014-15,12,630,446,630,70.8,100,343,1720,54.4,273,1895,300.8,874,18,2.1,5.9,NA,NA,NA,NA,NA,NA,1894,2397,380.5,2397,100,100,0,749,257,42,39.5,51.1,79,21,2404,100.3,1,100,2404,100,158,6.6
255,Taluk Hospital Neyyattinkara,2014-15,12,355,229,276,64.5,77.7,233,1653,65.6,465.6,534,150.4,0,0,NA,0,NA,NA,NA,NA,NA,NA,1279,1801,507.3,1801,100,100,0,474,231,39.1,37.1,44.3,71,29,1802,100.1,2,99.9,1802,100,266,14.8
256,Taluk Hospital Parassala,2014-15,12,184,158,123,85.9,66.8,1146,700,622.8,380.4,1143,621.2,1073,24,2.2,0,NA,NA,NA,NA,NA,NA,841,841,457.1,841,100,100,0,306,NA,36.4,36.4,NA,100,0,841,100,0,100,841,100,16,1.9
257,Vakkom CHC Area,2014-15,12,1096,946,476,86.3,43.4,930,323,84.9,29.5,955,87.1,17,0,0,0.8,0,0,0,NA,0,NA,0,360,32.8,360,100,100,0,0,218,60.6,NA,60.6,0,100,360,100,1,99.7,360,100,9,2.5
258,Vamanapuram BPHC Area,2014-15,12,1508,1264,1173,83.8,77.8,1516,1122,100.5,74.4,1530,101.5,50,0,0,1.8,0,0,0,NA,0,NA,0,1197,79.4,1197,100,100,0,0,418,34.9,NA,34.9,0,100,1198,100.1,2,99.8,1198,100,160,13.4
259,Vellanad CHC Area,2014-15,12,3164,1952,1174,61.7,37.1,2088,1053,66,33.3,1989,62.9,324,0,0,0.5,1,0,1,0,0,0,0,329,10.4,330,99.7,99.7,0.3,0,194,59,NA,59,0,100,334,101.2,0,100,334,100,1,0.3
260,Vellarada CHC Area,2014-15,12,1303,1090,1016,83.7,78,1166,1165,89.5,89.4,1198,91.9,18,0,0,0.6,1,0,1,0,0,0,2,1023,78.5,1024,99.9,99.9,0.1,0,393,38.4,0,38.5,0.2,99.8,1026,100.2,0,100,1026,100,1,0.1
261,Venpakal CHC Area,2014-15,12,750,640,743,85.3,99.1,713,241,95.1,32.1,722,96.3,29,2,6.9,1.1,0,0,0,NA,0,NA,0,90,12,90,100,100,0,0,22,24.4,NA,24.4,0,100,91,101.1,0,100,91,100,2,2.2
262,Vilappil CHC Area,2014-15,12,3814,3264,2750,85.6,72.1,3437,2255,90.1,59.1,3570,93.6,42,0,0,0.2,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
263,Vithura CHC Area,2014-15,12,1393,1135,1093,81.5,78.5,1240,724,89,52,1503,107.9,27,0,0,0.2,3,1,2,33.3,0,0,5,11,0.8,14,78.6,85.7,21.4,0,1,9.1,0,16.7,45.5,54.5,14,100,0,100,14,100,0,0
264,Vizhinjam CHC Area,2014-15,12,1655,1267,1062,76.6,64.2,1514,503,91.5,30.4,1512,91.4,11,0,0,0.8,0,0,0,NA,0,NA,0,20,1.2,20,100,100,0,0,1,5,NA,5,0,100,20,100,0,100,20,100,0,0
265,Women and Children s Hospital Thycadu,2014-15,12,75,35,75,46.7,100,47,3763,62.7,5017.3,2233,2977.3,5622,26,0.5,540,NA,NA,NA,NA,NA,NA,6599,8494,1325.3,8494,100,100,0,2196,1035,38,33.3,54.6,77.7,22.3,8531,100.4,20,99.8,8531,100,921,10.8
267,Alapad CHCArea,2014-15,13,1459,1195,581,81.9,39.8,1336,494,91.6,33.9,1590,109,5,0,0,0.1,0,0,0,NA,0,NA,0,49,3.4,49,100,100,0,0,32,65.3,NA,65.3,0,100,49,100,0,100,49,100,4,8.2
268,Aloor BPHCArea,2014-15,13,1556,1287,688,82.7,44.2,1524,645,97.9,41.5,1526,98.1,11,0,0,0,1,0,1,0,0,0,0,830,53.3,831,99.9,99.9,0.1,0,164,19.8,NA,19.8,0,100,826,99.4,6,99.3,826,100,51,6.2
269,Anandapuram CHCArea,2014-15,13,1583,1237,629,78.1,39.7,1559,1448,98.5,91.5,1130,71.4,23,0,0,0.8,0,0,0,NA,0,NA,0,1770,111.8,1770,100,100,0,0,889,50.2,NA,50.2,0,100,1781,100.6,1,99.9,1781,100,151,8.5
270,Chelakkara CHCArea,2014-15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,Cherpu CHCArea,2014-15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,Elinjipra CHCArea,2014-15,13,1237,1049,424,84.8,34.3,1212,383,98,31,1192,96.4,1,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,100,0,NA,NA,NA,NA,NA,NA,2,100,0,100,2,100,1,50
273,Erumapetty CHCArea,2014-15,13,3484,2815,1391,80.8,39.9,3196,3169,91.7,91,3054,87.7,4,0,0,0,1,0,1,0,0,0,0,214,6.1,215,99.5,99.5,0.5,0,77,36,NA,36,0,100,216,100.5,0,100,216,100,10,4.6
274,GH Irinjalakuda,2014-15,13,424,206,29,48.6,6.8,238,345,56.1,81.4,132,31.1,5,1,20,0,NA,NA,NA,NA,NA,NA,489,602,142,602,100,100,0,292,78,61.5,59.7,69,81.2,18.8,605,100.5,0,100,604,99.8,106,17.5
275,GH THRISSUR,2014-15,13,362,187,48,51.7,13.3,424,2567,117.1,709.1,430,118.8,874,1,0.1,53.6,NA,NA,NA,NA,NA,NA,2892,8935,2468.2,8935,100,100,0,979,2349,37.2,33.9,38.9,32.4,67.6,9007,100.8,48,99.5,9007,100,1145,12.7
276,Kadappuram CHCArea,2014-15,13,1500,1156,617,77.1,41.1,1555,1330,103.7,88.7,1426,95.1,0,0,NA,0.6,1,0,1,0,0,0,0,7,0.5,8,87.5,87.5,12.5,0,5,71.4,NA,71.4,0,100,8,100,0,100,8,100,0,0
277,Madavana CHCArea,2014-15,13,1542,1344,542,87.2,35.1,1470,743,95.3,48.2,1341,87,4,0,0,0,1,0,1,0,0,0,0,479,31.1,480,99.8,99.8,0.2,0,268,55.9,NA,55.9,0,100,485,101,1,99.8,485,100,13,2.7
278,Mambra BPHCArea,2014-15,13,1122,943,366,84,32.6,1088,314,97,28,1095,97.6,0,NA,NA,0,0,0,0,NA,0,NA,0,73,6.5,73,100,100,0,0,62,84.9,NA,84.9,0,100,75,102.7,1,98.7,75,100,1,1.3
279,Mattathur CHCArea,2014-15,13,2914,2606,982,89.4,33.7,2776,1572,95.3,53.9,2456,84.3,377,17,4.5,1.3,1,0,1,0,0,0,0,740,25.4,741,99.9,99.9,0.1,0,492,66.5,NA,66.5,0,100,745,100.5,4,99.5,745,100,72,9.7
